,potential,value_eur,wage_eur,age,height_cm,weight_kg,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic
11022,Great,1800000.0,1000.0,19,172,68,3,2,68.0,48.0,67.0,66.0,59.0,57.0
5994,Good,2100000.0,22000.0,24,185,83,3,3,74.0,67.0,65.0,73.0,36.0,60.0
8739,Low,350000.0,1000.0,35,162,64,4,3,50.0,61.0,70.0,70.0,26.0,41.0
16553,Low,200000.0,650.0,28,180,76,3,2,55.0,45.0,50.0,53.0,57.0,70.0
13883,Low,550000.0,1000.0,25,180,76,2,2,70.0,48.0,54.0,60.0,59.0,62.0
12138,Low,500000.0,500.0,29,187,86,2,2,60.0,27.0,46.0,42.0,63.0,66.0
859,Great,29500000.0,44000.0,18,182,68,3,4,72.0,65.0,76.0,80.0,75.0,77.0
16839,Low,240000.0,800.0,27,192,87,2,2,54.0,61.0,35.0,50.0,24.0,75.0
11713,Good,1300000.0,7000.0,22,173,70,3,2,75.0,36.0,55.0,61.0,59.0,60.0
12855,Low,475000.0,2000.0,28,176,65,2,3,76.0,60.0,57.0,69.0,26.0,35.0
6604,Medium,775000.0,3000.0,32,182,75,3,2,72.0,41.0,60.0,45.0,67.0,82.0
8552,Great,2200000.0,6000.0,21,189,82,3,2,53.0,57.0,62.0,61.0,63.0,76.0
15061,Medium,650000.0,650.0,18,171,68,3,2,68.0,42.0,50.0,59.0,60.0,64.0
4137,Good,2600000.0,15000.0,25,187,77,4,2,67.0,65.0,67.0,72.0,70.0,69.0
2702,Great,4100000.0,21000.0,25,194,85,5,3,66.0,75.0,53.0,63.0,33.0,79.0
17613,Medium,350000.0,750.0,20,182,74,3,2,82.0,58.0,43.0,59.0,25.0,51.0
8879,Low,825000.0,1000.0,28,180,72,2,2,54.0,47.0,59.0,62.0,64.0,80.0
13172,Great,1500000.0,5000.0,18,174,65,2,3,78.0,63.0,49.0,64.0,22.0,53.0
11587,Low,575000.0,2000.0,27,175,75,3,2,69.0,40.0,51.0,57.0,61.0,67.0
659,Great,24500000.0,52000.0,23,182,78,3,3,68.0,63.0,78.0,78.0,73.0,75.0
7021,Medium,1500000.0,3000.0,26,166,61,3,2,77.0,47.0,57.0,65.0,60.0,58.0
1958,Great,12500000.0,25000.0,23,175,71,4,2,75.0,60.0,76.0,79.0,57.0,64.0
6931,Medium,1500000.0,4000.0,24,181,79,3,2,75.0,40.0,54.0,60.0,66.0,78.0
15306,Low,220000.0,3000.0,29,182,83,4,2,69.0,45.0,53.0,56.0,55.0,70.0
19203,Low,120000.0,500.0,18,178,62,3,2,60.0,47.0,36.0,47.0,17.0,43.0
3999,Good,2300000.0,9000.0,26,172,70,3,3,75.0,54.0,68.0,79.0,26.0,62.0
18017,Medium,300000.0,500.0,19,177,76,3,2,60.0,45.0,57.0,54.0,43.0,52.0
9921,Low,200000.0,2000.0,35,185,77,3,2,47.0,57.0,61.0,66.0,60.0,73.0
4660,Medium,725000.0,5000.0,34,178,82,4,3,53.0,67.0,68.0,70.0,69.0,81.0
11040,Good,1500000.0,3000.0,22,190,79,3,2,55.0,31.0,43.0,51.0,67.0,63.0
10339,Medium,1100000.0,3000.0,23,178,70,3,3,76.0,60.0,59.0,67.0,29.0,48.0
2263,Good,4200000.0,27000.0,25,170,68,3,3,88.0,68.0,68.0,76.0,67.0,57.0
1093,Great,15000000.0,8000.0,21,169,67,3,3,81.0,56.0,64.0,75.0,72.0,73.0
17046,Low,250000.0,5000.0,24,175,71,3,3,70.0,42.0,57.0,60.0,50.0,53.0
12329,Low,400000.0,1000.0,29,191,90,4,2,53.0,37.0,54.0,56.0,62.0,71.0
14479,Low,400000.0,2000.0,26,174,68,4,2,71.0,28.0,45.0,64.0,57.0,66.0
4412,Great,3500000.0,11000.0,22,185,75,2,2,70.0,28.0,57.0,62.0,72.0,70.0
603,Great,22000000.0,25000.0,25,185,80,4,3,69.0,69.0,72.0,73.0,79.0,82.0
4703,Medium,1000000.0,7000.0,32,183,75,3,2,56.0,55.0,62.0,67.0,70.0,70.0
16254,Low,475000.0,2000.0,20,184,79,2,2,59.0,46.0,56.0,56.0,58.0,61.0
14773,Good,775000.0,1000.0,21,185,76,2,3,54.0,48.0,61.0,59.0,57.0,57.0
17806,Low,120000.0,500.0,30,163,58,3,2,71.0,47.0,52.0,55.0,41.0,52.0
18028,Low,170000.0,500.0,24,174,68,2,3,63.0,46.0,51.0,52.0,23.0,60.0
17192,Low,375000.0,850.0,21,173,70,3,3,68.0,44.0,58.0,59.0,36.0,54.0
3138,Good,425000.0,8000.0,36,186,85,2,2,39.0,52.0,55.0,53.0,72.0,82.0
4201,Great,2900000.0,29000.0,24,183,78,4,3,74.0,70.0,60.0,70.0,29.0,71.0
4914,Medium,1100000.0,6000.0,32,186,82,3,2,52.0,50.0,60.0,63.0,70.0,83.0
15012,Medium,600000.0,1000.0,24,188,77,2,2,91.0,30.0,45.0,53.0,61.0,67.0
17370,Great,425000.0,2000.0,18,175,65,3,3,65.0,43.0,58.0,65.0,43.0,45.0
